id,Polling Station,Approval of Besancenot,Approval of Buffet,Approval of Schivardi,Approval of Bayrou,Approval of Bové,Approval of Voynet,Approval of Villiers,Approval of Royal,Approval of Nihous,Approval of Le Pen,Approval of Laguiller,Approval of Sarkozy,Score of Besancenot,Score of Buffet,Score of Schivardi,Score of Bayrou,Score of Bové,Score of Voynet,Score of Villiers,Score of Royal,Score of Nihous,Score of Le Pen,Score of Laguiller,Score of Sarkozy
0,Cigne,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2
1,Cigne,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0
2,Cigne,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
3,Cigne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
4,Cigne,1,0,0,0,1,1,0,0,0,0,1,0,2,1,,1,2,2,0,1,,0,2,0
5,Cigne,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,2,2,0,1,2,0,0,0,2
6,Cigne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7,Cigne,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,1
8,Cigne,0,0,0,1,0,0,0,0,0,0,0,0,,,,2,,,,,,,,
9,Cigne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10,Cigne,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,2,1
11,Cigne,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,1,2,0,0,2,0,0,1,0
12,Cigne,0,0,0,0,0,0,0,1,0,0,0,0,2,,0,0,2,1,0,2,0,0,2,0
13,Cigne,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,1
14,Cigne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
15,Cigne,1,0,0,0,1,0,1,1,0,0,1,0,2,1,1,1,1,1,1,2,1,0,2,0
16,Cigne,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2,0,0,1,0
17,Cigne,1,0,0,0,1,1,0,1,0,0,0,0,1,1,,1,1,1,0,1,0,0,1,0
18,Cigne,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,1,,,,
19,Cigne,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0
20,Cigne,0,0,0,0,0,0,0,1,0,0,0,0,,,,1,,,,2,,,,0
21,Cigne,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2
22,Cigne,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,0,2,0,0,2,1
23,Cigne,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,2,,,,
24,Cigne,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
25,Cigne,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2
26,Cigne,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,2
27,Cigne,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,0,2,0
28,Cigne,1,0,0,1,1,0,1,0,0,0,0,0,1,,,2,1,,1,,,,,
29,Cigne,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,2,0,0,1,0
30,Cigne,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
31,Cigne,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,0,0,1,1
32,Cigne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,1,0
33,Cigne,1,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,2,,,,
34,Cigne,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,1,1,,,,2
35,Cigne,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
36,Cigne,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,1,0,1,2,1,,1,1,2
