id,Olivier Besancenot,Marie-George Buffet,Gérard Schivardi,François Bayrou,José Bové,Dominique Voynet,Philippe de Villiers,Ségolène Royal,Frédéric Nihous,Jean-Marie Le Pen,Arlette Laguiller,Nicolas Sarkozy
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,1,1,0,0,0,0,1,0
5,0,0,0,1,1,0,0,1,0,0,0,1
6,0,0,0,1,0,0,0,0,0,0,0,0
7,1,0,0,0,1,0,0,1,0,0,0,0
8,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0
11,1,0,0,1,1,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0
13,0,0,0,1,1,0,0,1,0,0,0,1
14,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,1,1,0,0,1,0
16,1,0,0,0,1,0,0,1,0,0,0,0
17,1,0,0,0,1,1,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,0,0,0,0,0,1,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,1,0,0,1,0,1
22,0,0,0,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,1,0,0,0,0,0,0,0,1
26,0,0,0,1,0,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,0,0,0,1,0
28,1,0,0,1,1,0,1,0,0,0,0,0
29,0,1,0,0,1,0,0,1,0,0,0,0
30,0,0,0,1,0,0,0,0,0,0,0,0
31,0,1,0,0,0,0,0,1,0,0,1,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,1,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,1
35,0,0,0,1,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,0,0,0,1
37,1,0,1,1,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,1,0,0,0
39,0,0,0,0,0,0,0,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,0,0,1
42,0,1,0,1,0,1,0,1,0,0,0,1
43,0,0,0,0,0,0,1,0,0,1,0,0
44,1,0,0,0,1,0,0,1,0,0,0,0
45,0,0,0,1,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,1
48,0,0,0,1,0,1,0,1,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1,0,0,0,0,0,1,0,0,0,0
51,1,0,0,0,1,0,0,1,0,0,0,0
52,0,0,0,1,0,0,0,0,0,0,0,1
53,1,1,0,0,1,1,0,1,0,0,0,0
54,0,0,0,1,0,1,0,1,0,0,0,0
55,0,0,0,1,0,0,0,0,1,0,0,1
56,0,0,0,1,0,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,1,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,1,0,0,1,0
60,0,0,0,1,0,0,1,0,0,0,0,1
61,0,0,0,1,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,1,0,0,0,1,0,0,0,0
64,0,0,0,0,0,0,1,0,0,1,0,1
65,1,0,0,1,1,0,0,1,0,0,0,0
66,0,0,0,1,1,1,0,1,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,1,0
71,1,0,0,0,0,0,0,1,0,0,0,0
72,0,0,0,1,0,0,0,1,0,0,0,1
73,0,0,0,1,0,0,1,1,0,0,0,1
74,0,0,0,1,0,1,0,0,0,0,0,1
75,0,0,0,1,0,0,0,1,0,0,0,0
76,0,1,0,0,1,0,0,1,0,0,0,0
77,0,1,0,0,0,0,0,1,0,0,0,0
78,0,1,0,1,0,0,1,0,0,0,0,1
79,0,0,0,1,0,0,0,0,0,0,0,1
80,0,0,0,0,0,1,1,0,1,0,0,1
81,0,0,0,1,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,1,0,0
84,0,0,0,0,0,0,1,0,0,1,0,0
85,0,0,0,0,0,0,1,0,0,0,0,0
86,0,0,0,1,0,0,0,0,0,0,0,1
87,1,0,0,0,0,0,0,0,1,0,0,0
88,0,0,0,1,0,0,0,0,0,0,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,0,0,0,1
92,0,0,0,0,0,0,0,0,1,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0
94,1,1,0,1,1,1,0,1,0,0,0,0
95,0,0,0,1,0,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0,1
98,0,0,0,0,0,0,0,0,0,0,0,1
99,0,0,0,1,1,1,1,1,0,0,0,0
100,0,0,0,0,0,0,0,1,0,0,0,0
101,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0,0,0,0,0,1,0,0,0,0,0
103,1,0,0,1,0,1,0,1,0,0,0,0
104,0,0,0,1,0,0,0,0,0,0,0,0
105,0,0,0,1,0,0,0,0,0,0,0,1
106,0,0,1,1,0,0,1,0,0,1,0,1
107,0,0,0,1,0,1,0,1,0,0,0,0
108,0,0,0,0,1,0,0,1,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1
110,0,0,0,1,0,0,0,1,0,0,0,0
111,0,0,0,0,0,1,0,0,0,0,0,1
112,0,0,0,1,0,0,0,1,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,1
114,1,0,0,0,1,0,0,1,0,0,0,0
115,0,0,0,0,0,0,0,1,0,0,0,0
116,0,0,0,0,0,1,0,1,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0
118,1,1,0,0,1,1,0,1,1,0,1,0
119,0,0,0,0,0,0,0,1,0,0,0,0
120,0,0,0,1,1,0,1,0,1,0,0,1
121,0,0,0,0,0,0,0,0,0,0,0,1
122,0,0,0,1,0,0,0,1,0,0,0,0
123,0,0,0,0,0,1,0,1,0,0,0,0
124,1,0,0,1,0,0,0,1,0,0,0,0
125,1,1,0,1,0,1,0,1,0,0,0,1
126,1,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,1,0,0,0,0,0
128,1,0,0,1,0,1,0,1,0,0,0,0
129,0,0,0,0,0,0,0,1,0,1,0,1
130,0,0,0,1,0,0,1,1,0,0,0,1
131,0,0,0,0,0,0,0,0,0,0,0,1
132,0,1,0,0,0,1,0,1,0,0,0,0
133,0,0,0,0,0,1,0,1,0,0,0,0
134,0,1,0,0,0,1,0,0,0,0,0,0
135,0,0,0,0,0,0,0,1,0,0,0,0
136,1,0,1,0,0,0,0,1,0,0,0,0
137,0,0,0,1,0,0,1,0,0,0,0,1
138,0,0,0,1,0,0,0,0,0,0,0,0
139,0,0,0,1,1,0,0,0,0,0,0,0
140,1,0,0,1,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,1,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0
143,1,0,0,0,0,0,1,1,0,1,0,0
144,1,0,0,0,0,0,1,1,0,0,0,0
145,0,0,0,1,0,0,1,0,0,0,0,1
146,0,0,0,1,0,0,0,0,0,0,0,1
147,1,0,0,0,0,0,1,0,0,0,0,0
148,0,0,0,1,0,0,0,0,0,0,0,1
149,0,0,1,0,0,0,1,0,1,0,1,0
150,0,1,1,0,0,1,0,0,0,0,1,0
151,0,0,0,1,0,0,0,1,0,0,0,1
152,1,0,0,0,1,0,0,0,0,0,1,0
153,0,0,0,0,0,0,0,0,1,0,0,1
154,0,0,0,0,0,0,0,1,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,1
156,0,0,0,0,0,1,0,1,0,0,0,0
157,0,0,0,1,0,1,0,1,0,0,0,0
158,0,0,0,0,0,0,0,1,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,1
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,1,0,0
162,0,0,0,1,0,0,0,1,0,0,0,0
163,0,0,0,1,0,0,0,1,0,0,0,0
164,0,0,0,1,0,0,0,1,0,0,0,0
165,1,0,0,0,1,1,0,1,0,0,0,0
166,0,0,0,0,0,0,0,1,0,0,0,0
167,0,0,0,0,0,0,0,1,0,0,0,1
168,0,0,0,1,0,0,0,1,0,0,0,0
169,1,0,0,1,1,0,0,1,0,0,0,0
170,1,0,0,0,1,1,0,1,0,0,0,0
171,0,0,0,1,1,0,0,0,0,0,0,1
172,1,0,0,1,0,0,0,1,1,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,1
174,0,0,0,1,0,1,0,1,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,1
176,1,0,0,1,0,0,0,1,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,1,0
178,0,0,0,0,0,0,0,0,1,0,0,0
179,1,0,0,1,0,0,0,1,0,0,0,1
180,0,0,0,1,0,0,0,0,0,0,0,0
181,1,0,0,0,1,0,0,1,0,0,1,0
182,1,0,0,0,1,0,0,0,0,0,0,0
183,1,1,0,0,1,1,0,1,0,0,1,0
184,0,0,0,0,0,0,0,0,0,1,0,1
185,0,0,0,1,1,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,1,0,0,0,0
187,0,0,0,0,0,0,0,0,0,1,1,1
188,1,0,0,0,0,0,0,1,0,0,0,0
189,1,0,0,1,0,0,0,0,0,0,0,1
190,0,0,0,0,0,0,0,0,0,0,0,1
191,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,1
193,1,1,0,0,0,1,0,1,0,0,0,0
194,0,0,1,1,0,0,0,0,1,0,0,1
195,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,1
197,1,0,0,1,0,0,0,1,0,0,0,0
198,0,0,0,0,0,0,0,1,0,0,0,0
