id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1,0,1,0,0,0,0,0,0,0,0,1
2,1,0,0,1,0,0,0,0,1,0,0
3,0,0,1,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,1,0,0,0
5,1,0,1,0,0,0,0,0,0,0,0
6,0,0,1,1,0,0,0,0,0,0,0
7,1,1,0,0,0,0,1,0,0,1,0
8,0,0,0,0,0,1,0,0,1,0,0
9,0,0,0,1,0,0,0,0,1,0,0
10,0,0,1,1,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,1,1,0,0
12,0,0,1,0,0,0,0,0,1,0,0
13,0,0,1,0,0,0,0,0,0,0,1
14,0,0,1,0,0,0,0,0,0,1,0
15,0,0,1,1,1,1,0,0,1,0,0
16,0,0,1,1,1,1,0,0,1,0,0
17,1,0,1,0,0,0,0,0,0,0,1
18,0,0,1,1,0,1,0,0,1,0,0
19,0,0,1,0,0,0,0,0,0,0,1
20,0,0,1,1,0,0,0,0,1,0,1
21,0,0,1,1,0,1,0,1,0,0,0
22,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1,0,0,1,0,0
24,0,0,0,1,1,1,0,0,1,0,0
25,0,0,1,0,0,0,0,0,0,0,1
26,0,0,0,1,0,0,0,0,1,0,0
27,0,0,1,0,0,0,0,0,0,0,1
28,0,0,1,1,0,0,0,0,0,0,1
29,0,0,0,1,0,0,0,0,0,0,0
30,1,0,0,1,1,1,1,1,1,0,0
31,0,0,1,0,0,0,0,0,0,0,0
32,1,0,1,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,1,0,1,0,0,1,0,0
35,0,0,1,1,0,1,0,0,0,0,0
36,0,0,1,1,0,0,0,0,1,0,0
37,0,0,1,1,0,0,0,0,1,0,0
38,0,0,0,1,0,1,0,0,1,0,0
39,0,0,1,0,0,0,0,0,0,0,0
40,0,0,1,1,0,1,0,0,1,0,1
41,0,0,1,1,0,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,1,0,0
43,0,0,1,0,0,0,0,0,0,0,0
44,0,0,0,1,0,0,0,0,1,0,0
45,0,0,1,1,0,0,0,0,1,0,0
46,0,0,0,0,0,0,0,0,0,0,1
47,0,0,1,1,0,0,0,0,1,0,0
48,1,0,1,0,0,0,0,0,0,0,1
49,0,0,1,0,0,0,1,0,1,0,0
50,1,1,0,0,1,0,0,1,0,0,1
51,0,0,1,0,0,0,0,0,1,0,0
52,0,0,1,1,0,0,0,0,0,0,0
53,0,0,0,1,0,0,0,0,1,0,0
54,0,0,1,1,0,0,0,0,1,0,0
55,0,0,1,1,0,0,0,0,1,0,0
56,0,0,1,1,0,0,0,0,0,0,0
57,0,0,0,1,0,0,0,1,1,0,0
58,0,0,1,1,1,0,0,0,1,0,0
59,0,0,0,1,0,0,0,0,1,0,0
60,1,0,1,1,0,0,0,0,1,0,0
61,0,0,0,0,0,0,0,0,0,0,0
62,1,0,1,0,0,0,0,0,0,0,1
63,0,0,1,1,0,0,0,0,1,0,0
64,0,0,0,1,0,0,0,0,1,0,0
65,0,0,1,1,0,0,0,0,0,0,0
66,0,0,1,0,0,0,0,0,1,0,0
67,0,1,1,0,0,0,0,0,0,0,1
68,0,0,0,1,0,1,0,0,1,0,0
69,0,1,1,0,0,0,0,0,0,0,1
70,0,0,1,0,0,0,0,0,0,0,0
71,0,1,1,0,0,0,0,0,1,0,1
72,0,1,0,0,0,0,0,0,0,0,1
73,0,0,0,1,0,0,0,0,1,0,0
74,1,1,0,0,0,0,0,0,0,0,1
75,0,0,1,1,0,0,0,0,1,0,1
76,0,0,1,1,0,0,0,0,0,0,0
77,0,0,0,1,0,1,0,0,1,0,0
78,0,0,1,1,0,0,0,0,0,0,0
79,0,0,1,1,0,1,0,1,1,0,0
80,0,0,1,1,0,0,0,0,1,0,0
81,0,0,1,0,0,0,0,0,1,0,0
82,0,0,1,1,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,0,1
84,0,0,0,0,0,0,0,0,1,0,0
85,1,0,0,1,0,1,0,0,1,0,0
86,0,1,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
88,0,0,1,0,0,0,0,0,0,0,1
89,1,1,0,0,0,0,0,0,0,0,1
90,0,0,1,1,0,0,0,0,1,0,0
91,0,1,0,0,0,0,0,0,0,0,0
92,0,0,0,1,0,0,0,0,0,0,0
93,0,0,1,0,0,0,0,0,0,0,1
