id,Nicolas Dupont-Aignan,Marine Le Pen,Emmanuel Macron,Benoît Hamon,Nathalie Arthaud,Philippe Poutou,Jacques Cheminade,Jean Lassalle,Jean-Luc Mélenchon,François Asselineau,François Fillon
1322,0,0,1,1,0,0,0,0,0,0,0
1323,0,1,1,0,0,0,0,0,0,0,1
1324,1,0,1,1,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0,0,0,0
1326,0,0,1,0,0,0,0,0,0,0,0
1327,0,0,0,1,0,1,0,1,1,0,0
1328,0,1,0,0,0,0,0,0,0,0,1
1329,0,0,1,1,0,0,0,0,1,0,0
1330,0,0,1,1,0,0,0,0,1,0,0
1331,0,1,0,0,0,0,0,0,0,0,1
1332,0,0,1,0,0,0,0,0,1,0,0
1333,0,0,1,0,0,0,0,0,0,0,1
1334,1,0,1,1,0,0,1,0,1,0,1
1335,0,0,0,0,0,0,0,0,0,1,1
1336,0,0,1,1,0,0,0,0,0,0,0
1337,0,0,1,1,0,0,0,0,1,0,0
1338,0,0,1,0,0,0,0,0,0,0,0
1339,0,0,1,1,0,0,0,0,1,0,0
1340,0,0,1,0,0,0,0,0,0,0,0
1341,0,0,1,1,0,1,0,0,1,0,0
1342,0,0,1,1,0,0,0,0,0,0,0
1343,0,0,1,1,0,0,0,0,0,0,0
1344,0,1,0,0,0,0,0,0,0,0,0
1345,0,0,1,1,0,0,0,0,1,0,0
1346,0,0,1,0,0,0,0,0,0,0,0
1347,0,0,0,0,0,0,0,0,0,0,1
1348,0,0,1,0,0,0,0,1,0,0,1
1349,0,0,0,1,1,1,1,0,1,0,0
1350,0,0,1,1,0,0,0,0,0,0,1
1351,0,0,1,1,0,1,0,0,0,0,0
1352,0,0,0,0,0,0,0,0,0,0,0
1353,0,0,1,1,0,0,0,0,1,0,0
1354,0,0,0,0,0,0,0,0,0,0,1
1355,0,0,1,0,0,0,0,0,0,0,1
1356,0,0,1,0,0,0,0,0,0,0,1
1357,0,0,0,1,1,1,0,0,1,0,0
