id,Nathalie Arthaud,François Asselineau,Jacques Cheminade,Nicolas Dupont-Aignan,François Fillon,Benoît Hamon,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
29484,0,0,0,0,0,1,0,0,1,0,0
27790,0,0,0,0,0,0,0,0,0,0,0
28871,0,0,0,0,0,1,0,0,1,1,0
29483,0,0,0,0,0,1,0,0,1,1,0
29174,0,0,0,0,1,0,0,0,1,0,0
28449,0,0,0,0,0,1,0,0,1,1,0
28037,0,0,0,0,1,0,0,1,0,0,0
29489,0,0,0,0,0,1,0,0,1,1,0
29487,0,0,0,0,0,1,0,0,1,0,0
28712,0,0,0,0,1,0,0,1,0,1,0
27774,0,0,0,0,0,1,0,0,1,0,0
29478,0,0,0,0,0,1,0,0,0,1,0
29157,0,0,0,0,0,1,0,0,0,1,0
28629,0,0,0,0,0,1,0,0,0,1,1
28912,0,0,0,0,0,0,0,0,1,0,0
29473,0,0,0,0,0,1,0,0,1,0,0
32783,0,0,0,0,0,1,0,0,1,0,0
28498,0,0,0,0,1,0,0,0,0,0,0
28079,1,0,0,0,0,1,0,0,0,1,1
28423,0,0,0,0,0,1,0,0,0,1,0
28312,0,0,0,0,0,0,0,0,1,0,0
35065,0,0,0,0,0,1,0,0,0,1,0
29488,0,0,0,0,1,0,0,0,1,0,0
28065,0,0,0,0,0,1,0,0,0,1,0
34457,0,0,0,0,1,0,0,0,1,0,0
28571,0,0,0,0,0,0,0,0,1,0,0
27951,0,0,0,1,0,0,0,0,1,1,0
28384,0,0,0,0,1,0,0,0,1,0,0
29471,0,0,0,0,0,1,0,0,0,1,1
29107,0,0,0,0,0,1,0,0,0,1,1
28846,0,0,0,0,0,1,0,0,1,1,0
27880,0,0,0,0,1,0,1,0,1,0,0
28660,1,0,0,0,0,0,1,0,0,1,1
29480,0,0,0,0,0,1,0,0,0,0,0
28293,0,0,0,0,0,1,0,0,1,1,0
27822,0,0,0,0,0,0,0,0,1,0,0
27895,0,0,0,0,0,1,0,0,0,1,1
31142,0,0,0,0,0,1,0,0,0,1,1
27975,0,0,0,0,0,0,0,0,0,1,1
34810,0,0,0,0,0,1,0,0,0,1,1
29476,0,0,0,0,0,1,0,0,1,0,0
29475,1,0,0,1,0,1,0,0,0,1,0
28952,0,0,0,0,0,1,0,0,0,1,0
29485,0,0,0,0,0,1,0,0,0,1,0
28305,0,0,0,0,1,0,0,0,1,0,0
28725,0,0,0,0,0,1,0,0,0,1,1
28760,0,0,0,0,0,1,0,0,1,0,0
2644,0,0,0,0,0,1,0,0,1,1,0
17285,0,1,1,0,0,1,1,0,0,1,1
12349,0,0,0,0,0,0,0,0,0,0,0
27773,0,0,0,0,0,0,0,0,1,0,0
97,0,0,0,0,0,1,0,0,1,1,0
27135,0,0,0,0,0,1,0,0,1,0,0
2482,0,0,0,0,1,0,0,0,1,0,0
2210,0,0,0,0,0,1,0,0,1,0,0
21573,0,1,0,1,0,0,0,1,0,0,0
11039,0,0,0,0,0,1,0,0,1,0,0
2574,1,0,0,0,0,0,0,0,0,1,1
17657,0,0,0,0,0,0,1,0,1,0,0
8972,0,0,0,0,0,0,0,0,1,0,0
16006,0,0,0,0,0,1,0,0,1,1,1
26754,0,0,0,0,0,1,0,0,1,0,0
15636,0,0,0,0,0,1,0,0,1,0,0
2718,0,0,0,0,1,0,0,0,1,0,0
25779,0,0,0,0,1,1,1,0,1,0,0
2588,1,0,0,0,0,1,1,0,1,1,1
27205,0,0,0,0,0,0,0,0,1,0,0
10998,0,0,0,0,0,1,0,0,1,1,0
665,0,0,0,0,0,1,0,0,1,1,0
15688,0,0,0,0,0,1,0,0,0,1,1
9099,1,0,0,0,0,1,0,0,0,1,1
26090,0,0,0,0,0,1,0,0,0,1,0
18790,0,0,0,0,0,1,1,0,1,0,0
4789,1,0,0,0,0,1,0,0,0,1,1
32032,0,0,0,0,0,1,0,0,1,0,1
11624,0,1,0,1,1,0,0,0,1,0,0
6246,0,0,0,0,1,0,0,0,1,0,0
13859,0,0,0,0,0,0,0,0,0,1,0
18521,0,0,0,0,0,1,0,0,0,1,1
15815,0,0,0,0,0,1,0,0,1,1,0
12609,0,0,0,0,0,1,0,0,0,0,0
18524,0,0,0,0,0,1,0,0,0,1,0
13601,0,0,0,0,1,0,0,0,0,0,0
10758,1,0,0,0,0,1,1,0,1,1,1
13968,0,0,0,0,1,0,0,0,1,0,1
1517,0,0,0,0,0,1,0,0,0,1,0
1365,1,0,0,0,0,1,0,0,0,1,1
12558,1,0,0,0,1,1,0,1,1,1,1
12691,0,0,0,0,0,1,0,0,0,0,1
33908,1,0,0,0,0,1,0,0,0,1,1
1555,0,0,0,0,0,0,0,0,1,0,0
17615,0,0,0,1,1,0,1,1,0,0,0
33608,0,0,0,0,0,1,0,0,0,1,1
17473,0,0,1,0,0,0,0,0,0,1,1
1843,0,0,0,0,0,0,0,0,0,0,0
7594,1,0,0,0,0,0,0,0,0,1,1
960,0,0,0,0,0,1,0,0,1,0,0
1475,0,0,0,0,0,1,0,0,0,1,0
15914,0,0,0,0,0,1,0,0,0,0,0
12195,0,0,0,0,1,0,0,0,1,0,0
23790,1,0,0,0,0,1,0,0,0,0,1
23170,1,0,0,0,0,1,0,0,0,1,1
143,0,0,0,0,0,0,0,1,0,0,0
13500,0,0,0,0,0,1,0,0,0,1,0
