,candidate,party,party_short,color,score
0,Nathalie Arthaud,Lutte Ouvrière,LO,#AA0000,0.64
1,François Asselineau,Union Populaire Républicaine,UPR,#9ad6af,0.92
2,Jacques Cheminade,Solidarité et Progrès,SP,#e0dcad,0.18
3,Nicolas Dupont-Aignan,Debout la France,DLF,#0082C4,4.70
4,François Fillon,Les Républicains,LR,#0066CC,20.01
5,Benoît Hamon,Parti Socialiste,PS,#FF8080,6.36
6,Jean Lassalle,Résistons,R,#26c4ec,1.21
7,Marine Le Pen,Front National,FN,#0D378A,21.30
8,Emmanuel Macron,En Marche,EM,#FFD600,24.01
9,Jean-Luc Mélenchon,La France Insoumise,LFI,#cc2443,19.58
10,Philippe Poutou,Nouveau Parti Anticapitaliste,NPA,#bb0000,1.09
