id,time,country,studies,socpro,age,gender,official_vote,opinion_on_system,rule_1,rule_2,rule_3,rule_4
0,2022-04-08,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,-2.0,approval,borda,scores_4_pos,majority_judgement_7
1,2022-04-08,FR,superieur,prive,18-29,h,Jean-Luc Mélenchon,-2.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
2,2022-04-08,FR,superieur,etudiant,18-29,f,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_7
3,2022-04-08,FR,superieur,etudiant,18-29,f,Marine Le Pen,0.0,scores_4_neg,irv_2,scores_4_pos,majority_judgement_5
4,2022-04-08,FR,superieur,public,60-69,h,Emmanuel Macron,-1.0,approval,irv_1,scores_4_neg,majority_judgement_5
5,2022-04-08,FR,superieur,etudiant,18-29,f,Emmanuel Macron,2.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
6,2022-04-08,FR,superieur,public,40-49,h,Yannick Jadot,-1.0,approval,irv_1,scores_4_neg,majority_judgement_7
7,2022-04-08,FR,superieur,prive,30-39,h,Emmanuel Macron,1.0,approval,irv_2,scores_3_neg,majority_judgement_5
8,2022-04-08,FR,superieur,prive,30-39,h,Jean-Luc Mélenchon,1.0,scores_3_neg,irv_2,scores_3_pos,majority_judgement_7
9,2022-04-08,FR,superieur,public,50-59,h,Emmanuel Macron,1.0,approval,irv_2,scores_3_neg,majority_judgement_5
10,2022-04-08,FR,superieur,public,40-49,f,Yannick Jadot,-1.0,approval,borda,scores_4_pos,majority_judgement_5
11,2022-04-08,FR,superieur,public,50-59,f,Jean-Luc Mélenchon,-1.0,scores_4_neg,irv_1,scores_4_pos,majority_judgement_7
12,2022-04-08,FR,superieur,prive,60-69,h,Jean-Luc Mélenchon,-2.0,scores_3_neg,irv_1,scores_3_pos,majority_judgement_5
