RE,RN,LFI,LR,Dem,SOC,HOR,GDR,Écolo,LIOT
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0
1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0
1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0
1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0
