dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Gy-Les-Nonains,France 2002,approval.csv,Voter Deletion,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère,95.0,365,228,7
Gy-Les-Nonains,France 2002,approval.csv,Minimal Flips,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère,103.0,365,228,7
Gy-Les-Nonains,France 2002,approval.csv,Ballot Completion,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère,184.0,365,228,7
Gy-Les-Nonains,France 2002,approval.csv,Minimal Swaps,Jean-Pierre Chevènement < François Bayrou < Jacques Chirac < Jean-Marie Le Pen < Arlette Laguiller < Lionel Jospin < Noël Mamère,193.0,365,228,7
Gy-Les-Nonains,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Arlette Laguiller < Lionel Jospin < Noël Mamère,313.0,365,228,7
IEP Paris,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,99.0,408,276,7
IEP Paris,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,103.0,408,276,7
IEP Paris,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,133.0,408,276,7
IEP Paris,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < François Bayrou < Jacques Chirac < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,137.0,408,276,7
IEP Paris,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,232.0,408,276,7
Orsay,France 2002,approval.csv,Voter Deletion,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,561.0,2220,1581,7
Orsay,France 2002,approval.csv,Minimal Flips,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,599.0,2220,1581,7
Orsay,France 2002,approval.csv,Ballot Completion,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,879.0,2220,1581,7
Orsay,France 2002,approval.csv,Minimal Swaps,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,910.0,2220,1581,7
Orsay,France 2002,approval.csv,Forbidden Triples,Jean-Marie Le Pen < Jacques Chirac < François Bayrou < Jean-Pierre Chevènement < Lionel Jospin < Noël Mamère < Arlette Laguiller,1437.0,2220,1581,7
In Situ,France 2007,approval.csv,Voter Deletion,Philippe de Villiers < Jean-Marie Le Pen < Nicolas Sarkozy < François Bayrou < Ségolène Royal < Olivier Besancenot < Marie-George Buffet,457.0,2836,1711,7
