dataset,year,file,rule,axis,score,n_voters,active_voters,n_candidates
Crolles,France 2017,approval.csv,Voter Deletion,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Jean Lassalle,426.86297217583405,1321,1061,9
Crolles,France 2017,approval.csv,Minimal Flips,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Jean Lassalle,516.8510046664426,1321,1061,9
Crolles,France 2017,approval.csv,Ballot Completion,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Jean Lassalle,863.0469103678232,1321,1061,9
Crolles,France 2017,approval.csv,Minimal Swaps,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Jean Lassalle,943.9170276814361,1321,1061,9
Crolles,France 2017,approval.csv,Forbidden Triples,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou < Jean Lassalle,1918.6936558972725,1321,1061,9
Crolles,France 2017,approval_with_runoff_1.csv,Voter Deletion,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Jean Lassalle,444.7222950412678,1296,1109,9
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Flips,François Asselineau < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou < Jean Lassalle,529.2682168559058,1296,1109,9
Crolles,France 2017,approval_with_runoff_1.csv,Ballot Completion,François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,909.7561654468869,1296,1109,9
Crolles,France 2017,approval_with_runoff_1.csv,Minimal Swaps,François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Benoît Hamon < Jean-Luc Mélenchon < Philippe Poutou,976.5395071791961,1296,1109,9
Crolles,France 2017,approval_with_runoff_1.csv,Forbidden Triples,François Asselineau < Jean Lassalle < Nicolas Dupont-Aignan < Marine Le Pen < François Fillon < Emmanuel Macron < Jean-Luc Mélenchon < Benoît Hamon < Philippe Poutou,2007.1326978526301,1296,1109,9
