VD,MF,BC,MS,FT,VD_rank,FT_rank
1.5,1.5,2.0,2.0,1.5,8.5,1.0
4.9,4.9,2.0,2.0,2.0,5.5,1.0
0.5,1.0,0.0,0.0,1.0,7.0,0.0
7.75,6.0,9.375,9.0,10.0,8.0,5.0
4.0,3.5,4.0,4.0,4.0,6.6,1.0
4.5,4.5,4.0,3.5,4.0,10.0,2.5
5.625,5.6,5.0,5.0,3.0,7.5,2.0
4.5,6.0,4.0,4.0,2.4,6.5,3.0
2.0,1.5,1.5,1.5,0.5,10.0,0.0
4.8,2.0,3.25,3.25,1.0,10.0,1.0
5.0,7.461538461538462,1.0,1.0,5.5,8.0,1.0
4.0,4.5,3.5,3.5,3.0,8.0,4.0
5.0,5.0,4.5,4.5,4.5,5.333333333333333,1.0
1.0,3.5,1.0,1.0,3.0,10.0,8.0
3.5,3.5,3.5,3.5,3.0,9.666666666666666,3.0
3.25,3.0,2.5,2.5,2.5,8.0,1.0
5.2,4.0,2.0,2.0,2.5,10.0,1.0
5.0,5.0,4.0,4.0,4.0,7.0,1.0
4.5,4.833333333333333,4.0,3.5,2.5,10.0,0.0
4.0,4.0,2.5,2.5,2.5,7.0,1.0
1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,8.5,2.0
2.0,2.0,1.0,1.0,1.0,8.5,0.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
2.0,2.0,1.5,1.5,1.0,10.0,2.0
2.0,2.5,2.0,2.0,2.0,6.0,1.0
3.272727272727273,3.0,2.8333333333333335,3.0,2.25,9.0,3.0
3.5,4.0,3.0,3.0,3.0,6.0,0.0
4.0,3.5,2.5,2.5,2.5,10.0,1.0
4.0,3.0,1.5,1.5,1.5,9.5,2.0
3.0,3.5,2.0,2.0,3.5,7.666666666666667,2.0
2.0,3.5,2.5,2.5,3.5,9.0,1.0
6.0,8.333333333333334,5.0,5.0,7.0,9.333333333333334,0.0
3.5,3.0,3.0,3.0,3.0,1.0,1.0
4.0,2.3333333333333335,2.0,2.0,2.0,9.5,0.0
2.0,2.0,2.0,2.0,2.5,8.0,1.5
7.0,6.666666666666667,5.0,5.0,6.0,8.666666666666666,0.0
4.9,3.0,2.0,2.0,2.5,9.0,1.0
1.0,1.0,1.5,1.0,0.0,8.5,0.0
1.0,1.0,1.5,1.5,0.5,8.0,0.0
2.0,2.0,2.0,2.0,2.0,3.0,1.0
3.0,3.6666666666666665,4.0,4.0,4.0,8.0,1.0
6.0,6.0,0.0,0.0,0.0,9.0,0.0
0.5,0.5,1.0,1.0,1.0,8.0,1.0
3.0,3.0,3.0,3.0,3.0,8.0,1.0
3.6666666666666665,3.75,5.0,5.0,5.0,8.0,1.0
