VD,MF,BC,MS,FT,VD_rank,FT_rank
10.0,7.0,9.0,10.0,5.0,9.0,2.0
6.75,6.0,4.0,4.0,2.3333333333333335,9.0,2.0
7.0,8.666666666666666,6.5,7.4,10.0,6.0,9.0
5.0,5.5,4.0,4.0,4.0,6.166666666666667,9.0
5.666666666666667,5.0,6.666666666666667,6.666666666666667,0.0,9.0,5.0
7.8,3.0,4.5,2.8333333333333335,1.0,9.5,7.5
4.0,4.0,8.0,9.0,5.0,8.0,6.0
7.0,5.0,7.0,5.0,5.5,8.0,7.0
8.0,9.0,7.0,9.0,9.0,7.2,5.0
6.5,6.0,6.0,7.5,7.5,9.0,4.0
5.0,5.0,5.0,5.0,5.0,8.666666666666666,7.0
7.5,5.0,7.0,7.5,4.0,2.0,2.0
4.75,8.333333333333334,9.0,9.0,9.0,7.0,3.0
10.0,5.0,9.0,6.0,7.0,7.0,10.0
5.0,2.0,2.0,2.0,2.0,8.11111111111111,3.0
8.0,7.0,7.5,7.5,8.0,6.0,6.5
4.0,8.0,4.666666666666667,3.0,5.0,3.0,5.0
2.6666666666666665,2.0,2.5,2.5,2.0,6.2,6.0
10.0,10.0,9.666666666666666,10.0,9.0,9.0,6.5
7.0,4.5,3.0,3.0,4.0,9.0,2.0
7.5,9.0,4.0,6.5,10.0,7.5,6.0
6.0,5.0,4.0,4.0,5.0,7.0,6.5
8.0,7.0,9.0,8.0,8.5,6.111111111111111,5.0
10.0,8.666666666666666,3.0,9.5,9.0,9.5,6.0
5.0,5.0,1.0,1.0,1.0,8.375,6.0
2.0,6.0,2.0,1.5,0.5,8.2,1.0
8.333333333333334,9.0,9.0,1.0,4.5,7.5,6.0
8.0,8.0,10.0,8.0,8.0,8.0,5.5
6.0,10.0,5.5,5.5,6.0,10.0,10.0
9.0,9.0,8.333333333333334,8.5,8.0,7.833333333333333,10.0
8.5,7.375,10.0,8.0,8.0,10.0,0.0
6.0,9.0,7.5,9.0,10.0,8.2,2.0
7.0,7.625,9.0,8.25,8.0,8.0,7.5
6.75,4.0,6.4,6.5,4.0,4.0,8.0
8.0,8.5,7.5,9.0,9.333333333333334,9.0,9.5
3.75,2.0,2.0,3.0,3.5,7.5,5.0
3.0,3.0,7.5,3.6666666666666665,1.5,7.0,6.5
5.0,6.833333333333333,4.0,4.0,3.0,8.0,2.0
2.0,7.5,2.0,2.0,1.5,4.5,3.0
6.5,6.0,4.5,4.5,3.5,7.5,8.0
8.857142857142858,6.0,8.5,7.0,7.0,9.0,9.0
8.5,7.5,6.0,6.5,6.5,7.555555555555555,6.0
10.0,4.428571428571429,4.0,3.5,3.5,10.0,3.5
7.0,2.0,10.0,10.0,3.0,8.0,9.0
4.0,4.0,3.5,3.5,3.0,5.0,5.0
5.333333333333333,7.75,6.0,7.5,9.0,7.5,8.0
7.714285714285714,9.5,7.5,7.0,9.0,10.0,2.5
10.0,10.0,10.0,10.0,10.0,9.0,1.0
6.818181818181818,9.0,6.0,6.0,7.0,10.0,9.5
6.0,6.333333333333333,5.5,5.0,5.5,7.0,8.0
4.0,3.0,3.0,3.5,2.0,9.0,1.0
5.0,9.0,9.5,8.333333333333334,7.0,8.75,8.0
9.0,6.0,3.5,4.8,8.0,9.0,3.0
10.0,8.5,8.0,8.0,8.0,7.833333333333333,10.0
10.0,8.5,8.5,8.5,9.0,10.0,8.0
7.0,5.0,4.5,4.0,5.0,9.0,6.0
6.5,9.0,6.5,7.0,5.0,9.0,10.0
4.0,7.0,2.0,2.0,8.0,4.0,5.0
9.0,9.0,9.0,8.5,9.0,5.75,7.0
10.0,7.666666666666667,7.333333333333333,9.0,8.0,6.0,5.0
8.25,6.6,9.5,9.0,9.0,10.0,7.0
8.0,8.5,8.0,8.0,9.0,9.0,1.5
4.75,10.0,3.5,4.0,10.0,7.8,10.0
4.0,4.0,7.0,5.0,4.0,4.0,7.0
9.25,8.0,10.0,9.5,9.5,9.0,4.0
10.0,8.5,10.0,10.0,10.0,8.0,8.0
9.0,4.0,9.5,9.5,5.0,9.0,10.0
8.5,9.0,8.5,7.857142857142857,8.0,10.0,4.0
6.0,8.0,7.5,7.0,6.5,9.0,2.0
8.5,8.5,10.0,10.0,10.0,7.0,2.0
4.0,5.0,5.0,5.0,5.0,9.0,1.5
10.0,7.75,7.0,7.0,8.5,9.0,4.0
5.75,10.0,4.5,5.0,10.0,8.0,3.5
9.0,10.0,10.0,10.0,10.0,7.0,8.0
8.0,8.0,8.5,8.0,9.0,7.0,7.0
8.5,10.0,8.5,8.5,3.0,6.0,10.0
6.0,7.5,7.0,7.0,7.0,9.0,8.0
6.0,6.0,5.0,4.0,4.0,10.0,9.0
7.0,9.0,6.5,6.0,9.0,4.5,8.0
2.5,8.0,1.0,1.0,2.0,10.0,0.5
5.0,6.5,4.5,4.0,3.5,9.0,8.5
3.3333333333333335,3.0,3.0,3.0,2.0,6.333333333333333,7.0
5.25,7.0,7.5,7.5,7.5,7.0,9.0
8.5,7.5,7.0,6.5,8.0,9.0,5.0
7.0,2.0,2.0,2.0,3.0,7.0,4.0
9.0,7.5,6.0,6.0,4.0,7.0,10.0
6.0,3.0,5.0,5.0,1.0,6.428571428571429,9.0
2.5,4.0,3.0,3.0,3.0,8.0,2.5
7.333333333333333,10.0,6.0,6.0,10.0,8.0,9.0
7.0,4.0,4.0,4.0,4.0,6.0,7.0
9.0,9.0,6.0,8.5,9.0,5.0,6.0
7.0,7.2,9.0,9.5,9.0,8.0,7.0
5.5,5.5,3.0,3.0,7.0,7.75,1.5
6.5,6.5,3.0,3.0,10.0,7.375,8.0
6.0,6.0,7.0,7.0,6.0,10.0,5.0
9.5,8.0,9.0,9.0,9.0,7.0,10.0
8.0,8.0,6.0,8.0,8.0,9.0,10.0
4.0,9.0,5.0,7.5,6.8,8.5,4.0
9.0,5.0,9.5,9.5,10.0,10.0,7.0
8.75,8.5,8.5,8.5,9.666666666666666,7.0,10.0
9.0,9.0,9.0,8.0,9.0,7.5,5.0
9.5,8.333333333333334,10.0,9.75,9.5,10.0,7.5
6.9,3.0,10.0,8.5,7.666666666666667,7.0,6.0
9.0,5.0,10.0,4.0,10.0,6.0,7.0
6.0,6.0,5.0,5.0,4.0,8.0,9.0
7.375,8.0,6.0,6.5,8.0,9.0,8.5
8.0,6.333333333333333,8.0,9.0,7.0,5.0,0.5
8.0,7.333333333333333,7.5,7.5,8.5,6.0,8.0
9.666666666666666,10.0,10.0,10.0,10.0,7.0,3.0
3.0,9.0,2.0,5.5,2.0,8.666666666666666,3.0
8.0,8.0,7.5,7.5,8.0,7.0,8.0
4.5,5.0,5.0,5.0,5.0,9.0,4.0
4.0,3.0,9.0,10.0,4.0,7.0,10.0
8.25,6.666666666666667,10.0,10.0,8.0,5.0,6.0
8.0,9.0,4.0,4.0,4.0,9.0,9.0
6.666666666666667,5.6,5.0,5.0,5.0,6.5,1.0
4.0,9.0,5.0,6.0,7.0,8.0,2.0
8.0,7.0,7.0,9.0,7.0,7.333333333333333,6.0
4.0,8.0,7.0,8.0,8.5,7.714285714285714,7.0
5.0,6.0,3.6666666666666665,4.0,4.5,6.0,9.666666666666666
4.0,5.0,5.5,4.5,5.0,7.2,5.0
7.0,9.5,10.0,9.5,10.0,9.0,10.0
1.0,4.8,6.0,6.0,5.0,6.666666666666667,4.0
8.0,6.8,6.0,5.5,7.5,8.571428571428571,10.0
5.714285714285714,6.0,5.0,5.0,5.0,9.0,6.0
5.0,6.4,3.0,4.0,5.0,8.5,3.0
3.0,3.5,3.0,3.0,3.0,10.0,1.0
5.0,5.5,7.0,6.0,5.5,9.0,10.0
8.0,10.0,10.0,9.5,9.0,8.0,10.0
10.0,10.0,8.333333333333334,9.0,9.0,6.333333333333333,5.0
8.5,8.5,8.5,9.5,9.333333333333334,9.0,6.0
8.0,8.0,9.0,9.0,9.0,5.8,6.0
5.333333333333333,9.0,4.0,7.666666666666667,9.5,6.333333333333333,4.5
9.0,8.0,8.0,8.0,8.0,9.0,3.0
10.0,10.0,3.0,3.0,3.5,8.5,10.0
7.5,9.0,6.5,6.0,6.0,8.833333333333334,7.0
10.0,8.0,10.0,10.0,10.0,8.277777777777779,10.0
6.5,7.0,8.0,10.0,6.5,2.5,0.5
7.333333333333333,7.833333333333333,7.0,7.0,9.0,7.555555555555555,3.0
8.666666666666666,3.6666666666666665,5.5,4.5,6.5,7.0,3.0
5.333333333333333,6.5,5.5,6.0,6.0,8.0,2.0
7.166666666666667,6.5,7.666666666666667,8.0,8.0,6.0,9.0
10.0,9.0,10.0,10.0,9.0,8.0,10.0
4.0,5.333333333333333,8.5,8.0,10.0,8.0,6.0
7.0,9.0,8.25,7.0,9.0,6.0,9.0
9.0,7.2,9.0,9.0,8.0,9.0,6.0
9.0,9.0,8.5,8.5,8.5,9.0,10.0
7.333333333333333,8.5,6.0,6.0,6.0,4.666666666666667,7.0
8.0,8.5,8.0,8.0,8.0,4.0,7.0
3.0,3.0,7.0,3.0,2.5,8.666666666666666,4.0
5.0,8.0,7.5,8.0,9.0,10.0,4.0
10.0,7.0,7.0,6.5,7.0,6.4,3.0
8.0,7.5,8.5,9.0,5.0,6.8,9.0
4.0,7.0,2.5,3.0,3.5,7.0,3.0
6.0,7.0,7.0,5.571428571428571,6.5,6.5,6.0
8.0,6.25,6.0,7.5,9.0,7.7,0.5
6.8,8.0,7.5,7.6,9.0,7.5,1.0
6.5,7.333333333333333,5.0,8.333333333333334,6.0,5.0,5.0
4.0,4.75,7.0,7.0,4.5,10.0,7.0
10.0,8.0,7.5,7.5,6.5,6.0,5.0
6.0,4.5,6.0,6.0,6.0,6.0,5.0
9.0,8.0,8.5,7.0,8.5,7.666666666666667,1.0
8.0,7.5,6.0,6.0,6.0,6.0,3.5
4.333333333333333,4.0,4.0,4.0,4.5,4.0,3.0
8.0,7.0,7.0,7.0,6.5,7.0,10.0
7.5,7.0,10.0,7.0,8.0,7.666666666666667,5.0
9.0,9.0,9.0,9.0,8.5,6.3,4.0
7.0,10.0,10.0,10.0,9.5,7.5,7.0
5.0,7.5,4.0,4.0,10.0,4.0,2.0
9.25,10.0,9.0,9.0,8.0,6.0,2.0
8.666666666666666,7.5,9.0,9.0,7.0,9.0,9.0
9.5,8.333333333333334,7.5,9.333333333333334,8.0,7.0,5.0
5.0,4.5,4.0,4.0,5.5,7.25,5.5
8.0,6.0,8.0,5.0,5.0,9.5,3.5
6.0,6.0,4.5,4.5,4.0,7.5,3.0
6.5,8.0,5.666666666666667,7.0,6.5,10.0,2.0
6.75,6.0,8.0,7.5,7.0,7.0,2.0
9.0,8.0,9.0,8.0,8.666666666666666,7.0,9.0
8.75,9.0,8.5,8.5,9.0,9.0,4.0
7.0,6.5,6.0,6.0,6.0,10.0,10.0
8.5,9.0,10.0,9.0,9.5,9.0,4.0
4.0,4.5,5.0,6.0,5.0,7.5,10.0
1.0,1.0,1.5,1.5,1.0,9.333333333333334,1.0
8.5,10.0,9.0,9.0,9.0,5.0,6.333333333333333
5.0,5.0,5.5,5.5,5.0,9.0,7.0
7.0,10.0,8.6,8.333333333333334,9.166666666666666,9.0,3.0
7.666666666666667,2.0,6.0,2.5,2.0,9.0,3.0
2.5,6.0,4.0,4.0,2.0,10.0,3.0
9.0,8.333333333333334,10.0,7.0,9.0,9.0,2.0
8.0,7.666666666666667,7.0,7.0,7.0,7.25,8.0
7.5,6.0,10.0,10.0,6.0,7.333333333333333,6.0
10.0,7.0,8.0,8.5,9.0,8.0,6.0
4.333333333333333,2.0,1.0,1.0,1.0,10.0,7.0
4.5,3.75,2.0,2.0,2.0,7.666666666666667,7.0
6.0,6.333333333333333,4.166666666666667,5.0,4.0,5.25,1.0
7.0,7.2,4.0,5.0,10.0,3.0,4.0
9.666666666666666,9.0,8.5,8.5,8.0,9.0,6.0
6.2,7.0,4.5,5.0,4.5,8.0,7.0
8.0,6.0,8.5,8.5,9.0,7.0,10.0
4.0,4.75,9.0,10.0,9.5,10.0,4.0
6.6,3.5,4.0,4.0,3.0,7.0,1.0
8.0,4.0,3.5,3.6666666666666665,4.0,7.25,4.0
5.0,7.0,8.5,8.5,4.0,8.0,7.0
4.666666666666667,5.0,5.0,5.0,5.0,8.0,6.0
6.666666666666667,9.0,5.0,4.8,5.0,7.0,7.5
5.0,5.8,6.0,6.333333333333333,5.0,8.0,8.0
6.0,7.0,7.666666666666667,8.0,6.0,8.0,6.0
6.5,8.0,9.0,9.0,9.0,6.5,9.0
9.0,8.0,9.0,8.5,8.0,8.5,1.0
8.5,4.0,4.0,3.0,3.5,7.0,8.0
3.0,5.2,1.5,1.5,1.5,7.0,7.0
5.0,5.25,7.0,6.0,5.5,7.0,9.0
8.25,9.666666666666666,9.0,9.0,8.0,5.0,8.0
8.5,8.5,8.2,9.0,9.0,9.0,9.0
5.5,6.5,6.5,6.5,6.5,7.0,2.0
5.0,5.0,5.0,5.0,5.0,8.0,3.5
5.0,5.6,1.5,1.5,2.0,7.8,4.0
3.5,2.0,2.0,2.0,5.0,9.0,3.0
7.166666666666667,8.0,3.5,3.5,8.0,10.0,5.0
8.0,8.0,8.0,8.5,8.0,8.0,8.0
2.0,3.0,2.0,2.0,2.0,10.0,2.0
7.5,10.0,10.0,10.0,10.0,9.5,2.0
8.4,6.833333333333333,4.5,4.0,7.0,8.0,7.0
8.0,7.5,7.5,8.0,8.0,8.666666666666666,5.666666666666667
4.0,4.0,8.5,3.5,3.0,7.0,2.0
8.0,8.5,8.5,8.5,9.0,8.0,8.5
7.0,5.0,7.0,6.0,4.0,10.0,6.0
10.0,10.0,10.0,9.5,10.0,9.0,9.0
10.0,9.0,5.0,4.0,9.5,4.0,3.5
6.0,8.333333333333334,6.0,6.0,7.0,7.571428571428571,8.0
4.5,10.0,6.5,6.5,9.5,5.5,6.0
3.5,3.0,3.0,3.0,3.5,9.333333333333334,9.5
6.333333333333333,5.5,5.0,6.0,8.0,8.333333333333334,6.0
9.4,9.6,9.0,9.5,10.0,8.5,10.0
6.5,10.0,8.5,8.0,8.0,7.5,6.0
8.777777777777779,10.0,8.0,8.0,10.0,8.0,9.0
6.0,5.0,7.0,6.0,5.0,10.0,9.0
7.5,7.5,8.0,8.0,8.0,7.0,1.0
5.4,4.333333333333333,3.0,6.0,3.0,6.666666666666667,1.0
10.0,6.8,6.0,6.0,9.0,10.0,7.0
10.0,9.5,10.0,8.0,8.5,10.0,5.0
6.0,8.0,4.0,4.5,4.5,4.0,3.0
5.0,5.0,3.0,3.0,3.0,8.0,2.0
10.0,10.0,7.0,10.0,10.0,7.0,1.0
7.75,7.0,8.0,8.0,8.0,7.0,6.0
7.857142857142857,5.0,7.0,7.0,2.0,6.0,1.0
6.0,6.0,7.0,7.0,7.0,10.0,2.0
8.6,10.0,8.0,7.0,7.0,7.666666666666667,7.0
8.0,10.0,6.5,5.5,10.0,7.8,7.5
6.0,6.0,6.0,6.0,6.0,8.4,7.0
4.0,5.0,10.0,10.0,9.0,3.0,5.0
7.0,6.5,4.0,4.0,6.0,5.0,3.0
7.2,4.0,8.0,7.5,4.0,7.166666666666667,6.0
8.375,7.5,8.5,8.0,8.0,7.5,8.0
6.0,7.0,9.666666666666666,9.0,7.4,7.0,10.0
10.0,8.333333333333334,8.0,8.0,9.5,7.0,7.0
8.0,7.0,7.5,7.5,9.75,6.0,9.0
7.5,7.0,8.0,8.333333333333334,4.0,7.666666666666667,8.0
8.0,9.0,3.8333333333333335,4.5,9.0,7.0,2.0
6.6,9.0,9.0,9.0,10.0,9.0,2.0
7.6,7.0,5.5,4.0,4.0,9.0,1.0
7.0,3.2,3.0,3.0,2.0,6.5,10.0
8.2,6.0,6.5,6.5,6.0,10.0,8.5
6.666666666666667,7.8,5.0,4.0,6.0,6.333333333333333,5.0
8.285714285714286,7.0,10.0,6.0,8.0,7.5,9.0
8.25,8.333333333333334,8.0,8.0,7.0,9.0,10.0
6.5,6.0,6.5,6.5,7.0,4.75,6.0
7.333333333333333,9.0,5.666666666666667,6.333333333333333,10.0,9.0,9.0
7.75,6.0,5.0,5.0,6.5,3.3333333333333335,3.0
6.0,7.0,4.0,4.0,5.5,5.5,2.0
6.0,5.5,5.0,5.0,5.5,6.8,8.0
7.0,5.25,5.5,3.0,2.0,9.0,1.0
6.0,7.333333333333333,2.5,3.5,5.0,10.0,10.0
8.0,10.0,7.5,8.0,8.0,7.0,10.0
4.0,6.0,6.333333333333333,5.5,6.333333333333333,10.0,7.0
4.0,4.0,2.0,2.6666666666666665,4.0,8.0,2.0
7.666666666666667,4.0,5.333333333333333,4.5,3.0,8.5,8.0
8.0,7.5,9.0,9.0,8.0,10.0,9.0
2.75,7.5,4.0,5.0,5.0,10.0,0.0
8.0,9.0,9.5,10.0,9.5,9.0,9.0
6.0,7.0,4.0,4.0,5.0,7.5,7.5
6.333333333333333,6.545454545454546,5.0,4.4,3.0,4.0,6.5
10.0,8.5,8.5,7.0,7.5,7.181818181818182,9.0
9.0,7.5,6.0,6.0,9.5,10.0,9.0
9.0,8.5,9.0,9.0,10.0,5.0,10.0
10.0,10.0,9.5,9.375,10.0,10.0,10.0
9.0,8.5,9.5,10.0,6.5,9.0,8.0
5.333333333333333,6.666666666666667,7.0,5.0,5.0,7.0,4.0
10.0,4.0,10.0,2.0,10.0,7.666666666666667,5.0
8.0,7.0,7.0,7.5,7.0,8.0,10.0
8.125,7.0,7.5,7.5,8.0,10.0,7.0
5.0,6.0,5.0,5.0,4.0,9.0,4.0
6.5,8.0,5.0,5.0,4.0,10.0,4.0
6.8,5.0,9.5,8.833333333333334,9.0,9.333333333333334,2.0
7.0,6.0,10.0,8.5,10.0,5.833333333333333,4.0
6.0,6.0,3.0,3.0,1.0,7.0,2.0
9.0,7.0,10.0,10.0,8.0,4.5,1.0
7.4,10.0,8.2,8.0,10.0,5.0,7.0
10.0,10.0,6.0,5.5,5.0,8.0,3.5
9.0,8.0,8.0,6.5,7.0,7.6,6.0
3.0,3.0,8.0,10.0,9.0,7.0,3.0
10.0,10.0,10.0,10.0,7.0,6.5,3.0
6.5,6.0,6.0,6.0,7.0,7.2,3.0
7.4,8.0,7.5,7.5,7.0,6.666666666666667,6.0
9.0,9.5,9.0,9.0,9.5,7.333333333333333,2.0
4.5,5.0,5.0,4.5,4.5,6.0,8.0
8.5,8.0,7.0,7.166666666666667,8.0,5.0,6.0
9.0,10.0,10.0,10.0,9.0,9.0,6.0
7.5,9.0,4.5,5.666666666666667,6.5,9.0,5.333333333333333
8.0,8.0,6.5,5.5,3.0,6.0,6.0
7.5,8.0,4.0,4.0,4.0,9.0,1.0
10.0,8.0,4.5,5.0,5.0,10.0,3.0
8.0,5.5,6.0,6.0,5.0,6.0,7.0
4.0,2.0,1.0,1.0,1.5,10.0,1.0
10.0,10.0,9.333333333333334,10.0,10.0,9.0,8.0
3.0,3.0,3.5,3.5,3.0,4.0,9.0
2.5,2.5,6.5,5.0,1.0,7.5,5.0
3.3333333333333335,4.0,3.0,3.0,2.0,9.0,3.0
5.5,3.0,2.0,2.0,2.5,7.666666666666667,3.0
7.333333333333333,4.5,6.0,6.0,6.0,8.5,6.0
10.0,10.0,8.0,10.0,7.5,8.714285714285714,9.0
5.75,6.0,2.5,4.5,8.5,9.0,9.0
2.0,2.0,2.0,2.0,1.0,5.4,1.0
6.0,7.5,5.0,3.5,3.5,8.0,4.0
5.0,6.0,5.333333333333333,7.0,7.0,10.0,8.5
8.0,6.0,8.0,6.0,6.0,6.666666666666667,3.0
3.0,3.3333333333333335,1.5,1.0,1.0,8.0,2.0
8.0,4.5,6.0,6.0,5.0,9.333333333333334,6.0
6.0,6.0,5.0,7.0,8.0,7.0,3.0
8.75,9.5,10.0,10.0,10.0,6.0,7.0
7.0,7.25,3.0,3.5,5.0,8.6,6.0
9.0,9.0,8.5,9.0,5.5,9.5,6.0
10.0,10.0,5.0,5.0,7.0,7.5,4.0
7.0,8.0,3.5,3.5,7.0,9.0,9.0
9.25,9.0,10.0,10.0,9.0,9.0,7.0
7.0,8.0,7.5,7.0,7.0,9.0,2.0
4.0,3.75,4.5,4.8,2.0,7.0,5.0
4.5,3.0,3.0,3.0,3.0,5.0,2.0
7.0,6.5,6.0,6.0,5.0,8.5,9.5
7.0,7.0,3.5,7.0,7.0,6.8,9.0
7.0,8.0,5.0,4.0,7.5,9.0,9.0
