year,rule,score,axis_1,axis_2,axis_3,axis_4,axis_5,axis_6,axis_7,axis_8,axis_9
1946,Voter Deletion,135.0,78,82,85,81,79,87,86,80,84
1946,Minimal Flips,257.0,78,82,85,81,79,87,86,80,84
1946,Ballot Completion,275.0,78,82,85,81,79,87,86,80,84
1946,Minimal Swaps,360.0,78,82,85,81,79,87,86,80,84
1946,Forbidden Triples,1038.0,78,82,85,81,79,87,86,80,84
1947,Voter Deletion,119.0,78,85,82,81,87,79,86,80,84
1947,Minimal Flips,212.0,78,85,82,81,87,79,86,80,84
1947,Ballot Completion,227.0,78,85,82,81,87,79,86,80,84
1947,Minimal Swaps,300.0,78,85,82,81,87,79,86,80,84
1947,Forbidden Triples,843.0,78,85,82,81,87,79,86,80,84
1948,Voter Deletion,154.0,85,81,78,82,80,79,87,86,84
1948,Minimal Flips,300.0,85,81,78,82,80,79,87,86,84
1948,Ballot Completion,309.0,85,81,78,82,80,79,87,86,84
1948,Minimal Swaps,370.0,85,81,78,82,80,79,87,86,84
1948,Forbidden Triples,873.0,85,81,78,82,80,79,87,86,84
1949,Voter Deletion,107.0,78,81,80,84,86,88,79,87,89
1949,Minimal Flips,226.0,78,81,80,84,86,88,79,87,89
1949,Ballot Completion,232.0,78,81,80,84,86,88,79,87,89
1949,Minimal Swaps,294.0,78,81,80,84,86,88,79,87,89
1949,Forbidden Triples,1004.0,78,81,80,84,86,88,79,87,89
1950,Voter Deletion,109.0,78,81,80,84,86,88,79,87,89
1950,Minimal Flips,239.0,78,81,80,84,86,88,79,87,89
1950,Ballot Completion,249.0,78,81,80,84,86,88,79,87,89
1950,Minimal Swaps,333.0,78,81,80,84,86,88,79,87,89
1950,Forbidden Triples,949.0,78,81,80,84,86,88,79,87,89
1951,Voter Deletion,113.0,81,78,80,84,86,88,79,89,87
1951,Minimal Flips,250.0,81,78,80,84,86,88,79,89,87
1951,Ballot Completion,264.0,81,78,80,84,86,88,79,89,87
1951,Minimal Swaps,339.0,81,78,80,84,86,88,79,89,87
1951,Forbidden Triples,1000.0,81,78,80,84,86,88,79,89,87
1952,Voter Deletion,111.0,81,78,80,84,88,86,89,79,87
1952,Minimal Flips,265.0,81,78,80,84,88,86,89,79,87
1952,Ballot Completion,276.0,81,78,80,84,88,86,89,79,87
1952,Minimal Swaps,354.0,81,78,80,84,88,86,89,79,87
1952,Forbidden Triples,973.0,81,78,80,84,88,86,89,79,87
1953,Voter Deletion,88.0,81,78,90,80,88,84,89,86,79
1953,Minimal Flips,181.0,81,78,90,80,88,84,89,86,79
1953,Ballot Completion,189.0,81,78,90,80,88,84,89,86,79
1953,Minimal Swaps,247.0,81,78,90,80,88,84,89,86,79
1953,Forbidden Triples,610.0,81,78,90,80,88,84,89,86,79
1954,Voter Deletion,111.0,81,78,90,88,80,91,89,86,79
1954,Minimal Flips,179.0,81,78,90,88,80,91,89,86,79
1954,Ballot Completion,195.0,81,78,90,88,80,91,89,86,79
1954,Minimal Swaps,330.0,81,78,90,88,80,91,89,86,79
1954,Forbidden Triples,1181.0,81,78,90,88,80,91,89,86,79
1955,Voter Deletion,102.0,81,78,90,88,80,89,79,91,86
1955,Minimal Flips,175.0,81,78,90,88,80,89,79,91,86
1955,Ballot Completion,189.0,81,78,90,88,80,89,79,91,86
1955,Minimal Swaps,254.0,81,78,90,88,80,89,79,91,86
1955,Forbidden Triples,760.0,81,78,90,88,80,89,79,91,86
1957,Voter Deletion,139.0,81,78,90,92,88,93,86,80,91
1957,Minimal Flips,242.0,81,78,90,92,88,93,86,80,91
1957,Ballot Completion,265.0,81,78,90,92,88,93,86,80,91
1957,Minimal Swaps,343.0,81,78,90,92,88,93,86,80,91
1957,Forbidden Triples,955.0,81,78,90,92,88,93,86,80,91
1959,Voter Deletion,127.0,81,78,90,92,88,94,93,91,80
1959,Minimal Flips,240.0,81,78,90,92,88,94,93,91,80
1959,Ballot Completion,249.0,81,78,90,92,88,94,93,91,80
1959,Minimal Swaps,281.0,81,78,90,92,88,94,93,91,80
1959,Forbidden Triples,659.0,81,78,90,92,88,94,93,91,80
1960,Voter Deletion,132.0,81,78,90,92,94,88,93,80,91
1960,Minimal Flips,245.0,81,78,90,92,94,88,93,80,91
1960,Ballot Completion,263.0,81,78,90,92,94,88,93,80,91
1960,Minimal Swaps,319.0,81,78,90,92,94,88,93,80,91
1960,Forbidden Triples,826.0,81,78,90,92,94,88,93,80,91
1962,Voter Deletion,128.0,81,78,90,92,96,95,94,88,91
1962,Minimal Flips,246.0,81,78,90,92,96,95,94,88,91
1962,Ballot Completion,253.0,81,78,90,92,96,95,94,88,91
1962,Minimal Swaps,315.0,81,78,90,92,96,95,94,88,91
1962,Forbidden Triples,869.0,81,78,90,92,96,95,94,88,91
1963,Voter Deletion,126.0,81,78,90,96,92,95,88,94,91
1963,Minimal Flips,215.0,81,78,90,96,92,95,88,94,91
1963,Ballot Completion,228.0,81,78,90,96,92,95,88,94,91
1963,Minimal Swaps,277.0,81,78,90,96,92,95,88,94,91
1963,Forbidden Triples,777.0,81,78,90,96,92,95,88,94,91
1964,Voter Deletion,140.0,81,90,92,78,96,95,88,94,91
1964,Minimal Flips,264.0,81,90,92,78,96,95,88,94,91
1964,Ballot Completion,269.0,81,90,92,78,96,95,88,94,91
1964,Minimal Swaps,388.0,81,90,92,78,96,95,88,94,91
1964,Forbidden Triples,1128.0,81,90,92,78,96,95,88,94,91
1965,Voter Deletion,121.0,81,97,90,92,78,95,88,94,91
1965,Minimal Flips,217.0,81,97,90,92,78,95,88,94,91
1965,Ballot Completion,222.0,81,97,90,92,78,95,88,94,91
1965,Minimal Swaps,309.0,81,97,90,92,78,95,88,94,91
1965,Forbidden Triples,921.0,81,97,90,92,78,95,88,94,91
1966,Voter Deletion,144.0,81,97,90,92,78,95,88,94,91
1966,Minimal Flips,282.0,81,97,90,92,78,95,88,94,91
1966,Ballot Completion,290.0,81,97,90,92,78,95,88,94,91
1966,Minimal Swaps,352.0,81,97,90,92,78,95,88,94,91
1966,Forbidden Triples,912.0,81,97,90,92,78,95,88,94,91
1967,Voter Deletion,206.0,81,97,90,92,98,78,94,95,91
1967,Minimal Flips,320.0,81,97,90,92,98,78,94,95,91
1967,Ballot Completion,339.0,81,97,90,92,98,78,94,95,91
1967,Minimal Swaps,563.0,81,97,90,92,98,78,94,95,91
1967,Forbidden Triples,1931.0,81,97,90,92,98,78,94,95,91
1968,Voter Deletion,156.0,81,90,97,98,92,95,78,94,91
1968,Minimal Flips,321.0,81,90,97,98,92,95,78,94,91
1968,Ballot Completion,337.0,81,90,97,98,92,95,78,94,91
1968,Minimal Swaps,448.0,81,90,97,98,92,95,78,94,91
1968,Forbidden Triples,1429.0,81,90,97,98,92,95,78,94,91
1969,Voter Deletion,185.0,81,98,92,78,95,94,91,100,99
1969,Minimal Flips,327.0,81,98,92,78,95,94,91,100,99
1969,Ballot Completion,349.0,81,98,92,78,95,94,91,100,99
1969,Minimal Swaps,419.0,81,98,92,78,95,94,91,100,99
1969,Forbidden Triples,1319.0,81,98,92,78,95,94,91,100,99
1970,Voter Deletion,162.0,81,92,98,78,95,94,91,100,99
1970,Minimal Flips,289.0,81,92,98,78,95,94,91,100,99
1970,Ballot Completion,301.0,81,92,98,78,95,94,91,100,99
1970,Minimal Swaps,398.0,81,92,98,78,95,94,91,100,99
1970,Forbidden Triples,1135.0,81,92,98,78,95,94,91,100,99
1976,Voter Deletion,191.0,92,98,103,95,94,100,101,99,102
1976,Minimal Flips,325.0,92,98,103,95,94,100,101,99,102
1976,Ballot Completion,339.0,92,98,103,95,94,100,101,99,102
1976,Minimal Swaps,428.0,92,98,103,95,94,100,101,99,102
1976,Forbidden Triples,1150.0,92,98,103,95,94,100,101,99,102
1977,Voter Deletion,217.0,98,92,103,95,94,100,101,99,102
1977,Minimal Flips,483.0,98,92,103,95,94,100,101,99,102
1977,Ballot Completion,493.0,98,92,103,95,94,100,101,99,102
1977,Minimal Swaps,623.0,98,92,103,95,94,100,101,99,102
1977,Forbidden Triples,1525.0,98,92,103,95,94,100,101,99,102
1978,Voter Deletion,210.0,98,92,103,95,100,94,101,99,102
1978,Minimal Flips,387.0,98,92,103,95,100,94,101,99,102
1978,Ballot Completion,396.0,98,92,103,95,100,94,101,99,102
1978,Minimal Swaps,508.0,98,92,103,95,100,94,101,99,102
1978,Forbidden Triples,1308.0,98,92,103,95,100,94,101,99,102
1979,Voter Deletion,214.0,98,92,103,100,95,94,101,99,102
1979,Minimal Flips,391.0,98,92,103,100,95,94,101,99,102
1979,Ballot Completion,405.0,98,92,103,100,95,94,101,99,102
1979,Minimal Swaps,504.0,98,92,103,100,95,94,101,99,102
1979,Forbidden Triples,1197.0,98,92,103,100,95,94,101,99,102
1980,Voter Deletion,177.0,98,92,103,100,95,94,101,99,102
1980,Minimal Flips,341.0,98,92,103,100,95,94,101,99,102
1980,Ballot Completion,351.0,98,92,103,100,95,94,101,99,102
1980,Minimal Swaps,459.0,98,92,103,100,95,94,101,99,102
1980,Forbidden Triples,1224.0,98,92,103,100,95,94,101,99,102
1981,Voter Deletion,225.0,98,92,100,103,95,101,104,99,102
1981,Minimal Flips,401.0,98,92,100,103,95,101,104,99,102
1981,Ballot Completion,411.0,98,92,100,103,95,101,104,99,102
1981,Minimal Swaps,535.0,98,92,100,103,95,101,104,99,102
1981,Forbidden Triples,1362.0,98,92,100,103,95,101,104,99,102
1982,Voter Deletion,196.0,98,92,103,100,95,101,99,104,102
1982,Minimal Flips,355.0,98,92,103,100,95,101,99,104,102
1982,Ballot Completion,365.0,98,92,103,100,95,101,99,104,102
1982,Minimal Swaps,425.0,98,92,103,100,95,101,99,104,102
1982,Forbidden Triples,1034.0,98,92,103,100,95,101,99,104,102
1983,Voter Deletion,166.0,98,92,103,100,95,101,104,99,102
1983,Minimal Flips,274.0,98,92,103,100,95,101,104,99,102
1983,Ballot Completion,283.0,98,92,103,100,95,101,104,99,102
1983,Minimal Swaps,347.0,98,92,103,100,95,101,104,99,102
1983,Forbidden Triples,824.0,98,92,103,100,95,101,104,99,102
1984,Voter Deletion,178.0,98,92,103,100,101,95,104,99,102
1984,Minimal Flips,311.0,98,92,103,100,101,95,104,99,102
1984,Ballot Completion,317.0,98,92,103,100,101,95,104,99,102
1984,Minimal Swaps,447.0,98,92,103,100,101,95,104,99,102
1984,Forbidden Triples,1244.0,98,92,103,100,101,95,104,99,102
1985,Voter Deletion,230.0,98,92,100,103,101,95,104,99,102
1985,Minimal Flips,453.0,98,92,100,103,101,95,104,99,102
1985,Ballot Completion,464.0,98,92,100,103,101,95,104,99,102
1985,Minimal Swaps,549.0,98,92,100,103,101,95,104,99,102
1985,Forbidden Triples,1209.0,98,92,100,103,101,95,104,99,102
1986,Voter Deletion,226.0,98,92,100,103,101,95,105,104,102
1986,Minimal Flips,396.0,98,92,100,103,101,95,105,104,102
1986,Ballot Completion,416.0,98,92,100,103,101,95,105,104,102
1986,Minimal Swaps,498.0,98,92,100,103,101,95,105,104,102
1986,Forbidden Triples,1168.0,98,92,100,103,101,95,105,104,102
1987,Voter Deletion,179.0,98,92,100,103,95,106,104,105,102
1987,Minimal Flips,300.0,98,92,100,103,95,106,104,105,102
1987,Ballot Completion,337.0,98,92,100,103,95,106,104,105,102
1987,Minimal Swaps,477.0,98,92,100,103,95,106,104,105,102
1987,Forbidden Triples,1438.0,98,92,100,103,95,106,104,105,102
1988,Voter Deletion,184.0,98,92,100,103,95,106,104,105,102
1988,Minimal Flips,314.0,98,92,100,103,95,106,104,105,102
1988,Ballot Completion,332.0,98,92,100,103,95,106,104,105,102
1988,Minimal Swaps,393.0,98,92,100,103,95,106,104,105,102
1988,Forbidden Triples,958.0,98,92,100,103,95,106,104,105,102
1989,Voter Deletion,166.0,98,92,103,100,95,106,104,105,102
1989,Minimal Flips,311.0,98,92,103,100,95,106,104,105,102
1989,Ballot Completion,329.0,98,92,103,100,95,106,104,105,102
1989,Minimal Swaps,380.0,98,92,103,100,95,106,104,105,102
1989,Forbidden Triples,824.0,98,92,103,100,95,106,104,105,102
1990,Voter Deletion,152.0,98,103,100,95,107,104,106,105,102
1990,Minimal Flips,264.0,98,103,100,95,107,104,106,105,102
1990,Ballot Completion,300.0,98,103,100,95,107,104,106,105,102
1990,Minimal Swaps,351.0,98,103,100,95,107,104,106,105,102
1990,Forbidden Triples,883.0,98,103,100,95,107,104,106,105,102
1991,Voter Deletion,156.0,103,100,107,95,104,106,102,105,108
1991,Minimal Flips,303.0,103,100,107,95,104,106,102,105,108
1991,Ballot Completion,315.0,103,100,107,95,104,106,102,105,108
1991,Minimal Swaps,366.0,103,100,107,95,104,106,102,105,108
1991,Forbidden Triples,834.0,103,100,107,95,104,106,102,105,108
1992,Voter Deletion,128.0,103,100,107,95,104,106,102,105,108
1992,Minimal Flips,261.0,103,100,107,95,104,106,102,105,108
1992,Ballot Completion,267.0,103,100,107,95,104,106,102,105,108
1992,Minimal Swaps,310.0,103,100,107,95,104,106,102,105,108
1992,Forbidden Triples,692.0,103,100,107,95,104,106,102,105,108
1993,Voter Deletion,109.0,103,100,107,109,106,104,102,105,108
1993,Minimal Flips,199.0,103,100,107,109,106,104,102,105,108
1993,Ballot Completion,202.0,103,100,107,109,106,104,102,105,108
1993,Minimal Swaps,236.0,103,100,107,109,106,104,102,105,108
1993,Forbidden Triples,545.0,103,100,107,109,106,104,102,105,108
1994,Voter Deletion,83.0,103,109,107,110,104,106,102,105,108
1994,Minimal Flips,150.0,103,109,107,110,104,106,102,105,108
1994,Ballot Completion,158.0,103,109,107,110,104,106,102,105,108
1994,Minimal Swaps,191.0,103,109,107,110,104,106,102,105,108
1994,Forbidden Triples,443.0,103,109,107,110,104,106,102,105,108
1995,Voter Deletion,85.0,103,109,110,107,106,104,102,105,108
1995,Minimal Flips,133.0,103,109,110,107,106,104,102,105,108
1995,Ballot Completion,138.0,103,109,110,107,106,104,102,105,108
1995,Minimal Swaps,151.0,103,109,110,107,106,104,102,105,108
