,Voter Deletion,Minimal Flips,Ballot Completion,Minimal Swaps,Forbidden Triples
0,10.0,6.0,9.0,8.0,5.0
1,6.0,6.0,5.0,9.0,4.0
2,8.0,5.0,6.0,7.0,6.0
3,1.0,1.0,9.0,9.0,1.0
4,6.0,0.0,0.0,0.0,0.0
5,2.0,2.0,8.0,7.0,7.0
6,10.0,2.0,2.0,3.0,4.0
7,0.0,1.0,1.0,1.0,0.0
8,1.0,0.0,0.0,0.0,1.0
9,2.0,10.0,8.0,9.0,10.0
10,3.0,6.0,5.0,7.0,7.0
11,2.0,0.0,1.0,1.0,1.0
12,0.0,0.0,1.0,3.0,8.0
13,9.0,1.0,0.0,0.0,0.0
14,3.0,2.0,2.0,5.0,2.0
15,0.0,0.0,8.0,0.0,1.0
16,3.0,3.0,3.0,3.0,2.0
17,5.0,2.0,1.0,1.0,1.0
18,1.0,1.0,1.0,2.0,1.0
19,3.0,3.0,3.0,5.0,4.0
20,1.0,1.0,1.0,1.0,2.0
21,8.0,6.0,1.0,1.0,3.0
22,1.0,1.0,0.0,0.0,0.0
23,1.0,6.0,1.0,1.0,2.0
24,1.0,5.0,1.0,0.0,5.0
25,0.0,2.0,2.0,1.0,2.0
26,1.0,4.0,1.0,1.0,1.0
27,6.0,2.0,8.0,2.0,5.0
28,2.0,0.0,0.0,6.0,0.0
29,3.0,5.0,2.0,0.0,7.0
30,0.0,0.0,10.0,0.0,0.0
31,2.0,1.0,7.0,6.0,6.0
32,5.0,3.0,3.0,6.0,6.0
33,2.0,0.0,2.0,0.0,2.0
34,1.0,2.0,2.0,1.0,2.0
35,6.0,1.0,0.0,1.0,1.0
36,9.0,3.0,0.0,2.0,2.0
37,0.0,0.0,1.0,0.0,1.0
38,3.0,0.0,1.0,1.0,0.0
39,6.0,9.0,0.0,3.0,7.0
40,7.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,0.0,0.0
42,1.0,1.0,1.0,1.0,1.0
43,4.0,1.0,2.0,2.0,2.0
44,8.0,2.0,0.0,4.0,3.0
45,1.0,0.0,2.0,0.0,0.0
46,3.0,9.0,9.0,9.0,4.0
47,6.0,6.0,4.0,5.0,5.0
48,9.0,5.0,4.0,9.0,4.0
49,0.0,0.0,0.0,1.0,1.0
50,1.0,4.0,9.0,1.0,1.0
51,3.0,2.0,3.0,5.0,5.0
52,0.0,0.0,0.0,0.0,0.0
53,2.0,1.0,1.0,0.0,1.0
54,6.0,2.0,6.0,7.0,7.0
55,4.0,7.0,3.0,4.0,3.0
56,1.0,4.0,0.0,3.0,1.0
57,6.0,7.0,5.0,3.0,7.0
58,1.0,1.0,0.0,0.0,1.0
59,9.0,6.0,0.0,0.0,8.0
60,5.0,2.0,5.0,3.0,0.0
61,0.0,0.0,2.0,0.0,5.0
62,0.0,0.0,0.0,0.0,0.0
63,3.0,3.0,7.0,1.0,2.0
64,0.0,9.0,9.0,8.0,10.0
65,5.0,1.0,4.0,4.0,5.0
66,1.0,2.0,1.0,0.0,0.0
67,2.0,2.0,2.0,2.0,2.0
68,0.0,1.0,0.0,0.0,0.0
69,7.0,2.0,1.0,1.0,2.0
70,3.0,5.0,0.0,2.0,3.0
71,3.0,9.0,7.0,0.0,9.0
72,4.0,0.0,0.0,0.0,1.0
73,2.0,5.0,2.0,5.0,5.0
74,0.0,0.0,1.0,0.0,0.0
75,9.0,10.0,10.0,6.0,6.0
76,4.0,0.0,0.0,0.0,10.0
77,3.0,6.0,2.0,2.0,1.0
78,1.0,0.0,1.0,2.0,3.0
79,2.0,8.0,5.0,7.0,7.0
80,0.0,0.0,0.0,0.0,1.0
81,3.0,3.0,3.0,3.0,3.0
82,5.0,2.0,8.0,9.0,10.0
83,6.0,0.0,0.0,0.0,1.0
84,2.0,3.0,2.0,2.0,2.0
85,5.0,6.0,5.0,6.0,7.0
86,6.0,5.0,6.0,5.0,5.0
87,4.0,1.0,4.0,3.0,3.0
88,8.0,7.0,9.0,6.0,1.0
89,6.0,2.0,3.0,1.0,1.0
90,1.0,2.0,0.0,1.0,1.0
91,7.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,6.0,5.0,7.0,0.0,0.0
95,1.0,1.0,1.0,0.0,1.0
96,7.0,1.0,2.0,2.0,1.0
97,2.0,3.0,2.0,2.0,2.0
98,10.0,7.0,8.0,7.0,7.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,3.0,0.0,0.0,1.0,1.0
102,4.0,4.0,9.0,4.0,3.0
103,5.0,10.0,5.0,2.0,5.0
104,5.0,6.0,6.0,5.0,6.0
105,2.0,7.0,1.0,1.0,1.0
106,7.0,1.0,1.0,1.0,2.0
107,1.0,2.0,1.0,0.0,1.0
108,3.0,6.0,3.0,1.0,4.0
