,Voter Deletion,Minimal Flips,Ballot Completion,Minimal Swaps,Forbidden Triples
0,6.0,6.0,6.0,6.0,6.0
1,6.0,6.0,6.0,6.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,6.0,0.0,0.0
4,0.0,6.0,6.0,6.0,6.0
5,6.0,0.0,6.0,0.0,6.0
6,6.0,0.0,6.0,6.0,6.0
7,0.0,6.0,6.0,6.0,6.0
8,0.0,0.0,0.0,0.0,0.0
9,6.0,6.0,6.0,6.0,6.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,6.0,6.0,6.0,6.0,6.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,6.0
16,0.0,6.0,6.0,0.0,6.0
17,6.0,6.0,6.0,6.0,6.0
18,0.0,0.0,0.0,0.0,0.0
19,6.0,6.0,6.0,6.0,6.0
20,0.0,6.0,6.0,6.0,6.0
21,0.0,6.0,6.0,6.0,6.0
22,0.0,6.0,6.0,6.0,6.0
23,6.0,0.0,6.0,6.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,6.0,0.0,6.0,6.0
26,0.0,0.0,6.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,6.0,6.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,6.0,6.0,6.0,6.0,6.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,6.0,6.0,6.0,6.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,6.0,0.0,0.0,0.0,0.0
38,0.0,6.0,0.0,6.0,6.0
39,0.0,0.0,0.0,0.0,0.0
40,6.0,6.0,6.0,6.0,6.0
41,0.0,0.0,6.0,0.0,6.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,6.0,6.0,0.0,6.0
45,0.0,0.0,0.0,6.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,6.0,6.0,6.0,6.0,6.0
49,6.0,6.0,6.0,6.0,6.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,6.0
53,6.0,0.0,6.0,6.0,6.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,6.0,6.0,6.0,6.0
56,0.0,6.0,0.0,0.0,6.0
57,6.0,0.0,0.0,6.0,0.0
58,6.0,6.0,6.0,0.0,0.0
59,6.0,6.0,6.0,6.0,6.0
60,0.0,0.0,6.0,6.0,6.0
61,6.0,0.0,0.0,0.0,0.0
62,0.0,0.0,6.0,6.0,6.0
63,6.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,6.0,6.0,6.0,6.0,6.0
66,0.0,0.0,0.0,6.0,0.0
67,0.0,6.0,0.0,0.0,6.0
68,6.0,6.0,6.0,6.0,6.0
69,6.0,6.0,6.0,6.0,6.0
70,0.0,0.0,0.0,0.0,0.0
71,0.0,6.0,6.0,6.0,6.0
72,6.0,6.0,6.0,6.0,6.0
73,6.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0
75,6.0,0.0,6.0,0.0,6.0
76,0.0,0.0,0.0,0.0,0.0
77,6.0,6.0,6.0,6.0,6.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,6.0,6.0,0.0,6.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,1.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,6.0,0.0,0.0,0.0,0.0
91,6.0,6.0,6.0,6.0,6.0
92,0.0,6.0,0.0,6.0,6.0
93,0.0,0.0,6.0,0.0,0.0
94,6.0,0.0,6.0,6.0,6.0
95,6.0,0.0,0.0,0.0,6.0
96,0.0,6.0,6.0,6.0,6.0
97,6.0,6.0,0.0,6.0,6.0
98,0.0,6.0,0.0,0.0,0.0
99,0.0,0.0,0.0,6.0,6.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
104,6.0,0.0,6.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0
106,6.0,0.0,6.0,0.0,6.0
107,6.0,0.0,0.0,0.0,6.0
108,0.0,0.0,0.0,0.0,0.0
109,6.0,6.0,6.0,6.0,6.0
110,0.0,0.0,6.0,6.0,6.0
111,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0
113,6.0,6.0,6.0,6.0,6.0
114,0.0,0.0,6.0,6.0,6.0
115,0.0,0.0,0.0,0.0,0.0
116,6.0,6.0,6.0,6.0,6.0
117,6.0,0.0,0.0,0.0,0.0
118,6.0,6.0,6.0,6.0,6.0
119,6.0,6.0,6.0,6.0,6.0
120,6.0,6.0,6.0,6.0,6.0
121,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,6.0,6.0
123,0.0,0.0,6.0,0.0,6.0
124,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,6.0,6.0
126,0.0,0.0,6.0,6.0,0.0
127,0.0,6.0,0.0,6.0,6.0
128,0.0,6.0,6.0,6.0,6.0
129,6.0,0.0,6.0,6.0,6.0
130,0.0,0.0,0.0,0.0,0.0
131,6.0,6.0,6.0,6.0,6.0
132,0.0,0.0,0.0,0.0,0.0
133,0.0,6.0,0.0,6.0,6.0
134,0.0,0.0,0.0,6.0,0.0
135,6.0,6.0,0.0,6.0,6.0
136,0.0,6.0,6.0,6.0,6.0
137,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,6.0
139,0.0,6.0,6.0,0.0,0.0
140,6.0,6.0,6.0,6.0,6.0
141,6.0,6.0,6.0,6.0,6.0
142,0.0,0.0,0.0,0.0,0.0
143,6.0,6.0,6.0,6.0,6.0
144,6.0,6.0,6.0,6.0,6.0
145,0.0,6.0,0.0,0.0,6.0
146,0.0,0.0,6.0,6.0,6.0
147,0.0,6.0,0.0,0.0,6.0
148,0.0,0.0,0.0,0.0,0.0
149,0.0,6.0,6.0,6.0,6.0
150,0.0,0.0,6.0,0.0,6.0
151,0.0,6.0,6.0,6.0,6.0
152,6.0,6.0,6.0,6.0,6.0
153,6.0,6.0,6.0,6.0,6.0
154,0.0,0.0,6.0,6.0,0.0
155,6.0,0.0,6.0,0.0,0.0
156,6.0,6.0,6.0,6.0,6.0
157,6.0,0.0,0.0,0.0,0.0
158,6.0,6.0,6.0,6.0,6.0
159,0.0,0.0,0.0,0.0,0.0
160,6.0,6.0,6.0,6.0,6.0
161,0.0,0.0,0.0,0.0,0.0
162,0.0,6.0,6.0,6.0,6.0
163,0.0,0.0,0.0,0.0,0.0
164,0.0,6.0,6.0,6.0,6.0
165,0.0,6.0,6.0,6.0,6.0
166,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0
168,0.0,6.0,6.0,0.0,0.0
169,6.0,6.0,0.0,0.0,6.0
170,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,6.0,0.0
172,0.0,6.0,6.0,6.0,6.0
173,0.0,6.0,6.0,6.0,6.0
174,0.0,6.0,0.0,0.0,6.0
175,0.0,0.0,0.0,0.0,0.0
176,6.0,6.0,6.0,6.0,6.0
177,0.0,6.0,6.0,6.0,6.0
178,6.0,0.0,0.0,6.0,6.0
179,6.0,6.0,6.0,6.0,6.0
180,0.0,0.0,0.0,0.0,0.0
181,0.0,6.0,6.0,6.0,6.0
182,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,6.0,0.0,6.0
185,0.0,0.0,0.0,6.0,6.0
186,0.0,6.0,6.0,6.0,6.0
187,0.0,6.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0
189,6.0,6.0,6.0,0.0,6.0
190,0.0,0.0,0.0,6.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,6.0,6.0
193,0.0,6.0,6.0,6.0,6.0
194,0.0,0.0,6.0,0.0,0.0
195,6.0,6.0,6.0,6.0,6.0
196,6.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0
198,0.0,6.0,0.0,0.0,0.0
199,6.0,6.0,6.0,6.0,6.0
200,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,6.0
203,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0
205,6.0,0.0,6.0,6.0,6.0
206,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0
208,0.0,6.0,0.0,0.0,6.0
209,0.0,0.0,0.0,0.0,0.0
210,0.0,6.0,6.0,6.0,6.0
211,0.0,0.0,0.0,0.0,0.0
212,0.0,6.0,6.0,6.0,6.0
213,6.0,6.0,6.0,6.0,6.0
214,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,6.0,0.0
216,6.0,0.0,6.0,0.0,6.0
217,6.0,6.0,6.0,6.0,6.0
218,0.0,0.0,6.0,6.0,0.0
219,6.0,6.0,6.0,6.0,6.0
220,0.0,6.0,0.0,6.0,0.0
221,6.0,6.0,6.0,6.0,6.0
222,0.0,6.0,6.0,6.0,6.0
223,0.0,6.0,0.0,6.0,6.0
224,0.0,0.0,0.0,6.0,6.0
225,6.0,6.0,6.0,6.0,6.0
226,0.0,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,6.0,6.0
229,0.0,0.0,0.0,0.0,0.0
230,6.0,0.0,0.0,0.0,0.0
231,0.0,6.0,6.0,6.0,6.0
232,0.0,6.0,6.0,6.0,6.0
233,0.0,6.0,0.0,0.0,6.0
234,6.0,6.0,6.0,6.0,6.0
235,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,6.0,0.0,0.0
239,6.0,6.0,6.0,6.0,6.0
240,0.0,6.0,0.0,0.0,0.0
241,6.0,6.0,6.0,6.0,6.0
242,0.0,6.0,6.0,6.0,6.0
243,0.0,6.0,6.0,6.0,6.0
244,6.0,6.0,6.0,6.0,6.0
245,6.0,6.0,6.0,6.0,6.0
246,6.0,0.0,6.0,6.0,6.0
247,0.0,0.0,0.0,0.0,0.0
248,0.0,6.0,6.0,6.0,6.0
249,0.0,0.0,0.0,0.0,0.0
250,6.0,6.0,6.0,6.0,6.0
251,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0
253,6.0,6.0,6.0,6.0,6.0
254,0.0,6.0,0.0,6.0,6.0
255,6.0,0.0,6.0,0.0,6.0
256,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0
259,6.0,6.0,6.0,6.0,6.0
260,0.0,0.0,0.0,0.0,0.0
261,0.0,6.0,6.0,6.0,6.0
262,0.0,0.0,0.0,0.0,0.0
263,0.0,6.0,6.0,6.0,6.0
264,0.0,0.0,0.0,6.0,0.0
265,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,6.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0
269,0.0,6.0,0.0,6.0,6.0
270,6.0,6.0,6.0,6.0,6.0
271,6.0,0.0,0.0,0.0,6.0
272,6.0,0.0,6.0,6.0,6.0
273,6.0,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0,0.0
275,6.0,6.0,6.0,6.0,6.0
276,0.0,6.0,0.0,6.0,0.0
277,0.0,0.0,0.0,0.0,0.0
278,6.0,6.0,6.0,6.0,6.0
279,0.0,0.0,0.0,0.0,0.0
280,6.0,6.0,6.0,6.0,6.0
281,6.0,6.0,0.0,0.0,6.0
282,6.0,6.0,6.0,6.0,6.0
283,0.0,0.0,0.0,0.0,6.0
284,0.0,6.0,6.0,6.0,6.0
285,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,6.0,6.0,6.0
287,0.0,6.0,6.0,6.0,6.0
288,6.0,0.0,6.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0
291,6.0,0.0,6.0,0.0,6.0
292,6.0,6.0,6.0,6.0,6.0
293,0.0,0.0,6.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,6.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0
298,0.0,6.0,0.0,0.0,0.0
299,6.0,6.0,0.0,0.0,0.0
300,6.0,6.0,6.0,6.0,6.0
301,6.0,6.0,6.0,6.0,6.0
302,0.0,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,6.0
306,6.0,6.0,6.0,6.0,6.0
307,0.0,0.0,0.0,0.0,0.0
308,6.0,6.0,6.0,6.0,6.0
309,0.0,0.0,0.0,0.0,0.0
310,6.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,6.0,6.0,0.0
313,6.0,0.0,6.0,6.0,6.0
314,6.0,6.0,6.0,6.0,6.0
315,0.0,0.0,0.0,0.0,0.0
