,Voter Deletion,Minimal Flips,Ballot Completion,Minimal Swaps,Forbidden Triples
0,3.0,1.0,2.0,2.0,2.0
1,1.0,1.0,4.0,3.0,0.0
2,2.0,2.0,2.0,2.0,1.0
3,1.0,0.0,0.0,0.0,0.0
4,10.0,7.0,1.0,1.0,1.0
5,0.0,0.0,0.0,0.0,0.0
6,5.0,3.0,1.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0
8,2.0,1.0,0.0,0.0,0.0
9,1.0,0.0,2.0,2.0,1.0
10,2.0,1.0,2.0,2.0,1.0
11,7.0,7.0,7.0,4.0,4.0
12,4.0,4.0,2.0,2.0,1.0
13,1.0,1.0,0.0,0.0,0.0
14,7.0,0.0,0.0,0.0,0.0
15,1.0,2.0,0.0,1.0,2.0
16,5.0,1.0,6.0,5.0,1.0
17,5.0,9.0,8.0,5.0,4.0
18,5.0,4.0,4.0,4.0,4.0
19,1.0,1.0,1.0,0.0,0.0
20,7.0,0.0,0.0,2.0,0.0
21,1.0,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0
23,7.0,1.0,1.0,1.0,0.0
24,7.0,5.0,0.0,4.0,3.0
25,6.0,6.0,2.0,2.0,7.0
26,3.0,1.0,0.0,0.0,0.0
27,2.0,4.0,2.0,3.0,1.0
28,0.0,1.0,0.0,0.0,0.0
29,3.0,3.0,7.0,6.0,2.0
30,1.0,0.0,2.0,1.0,0.0
31,3.0,7.0,2.0,1.0,1.0
32,0.0,0.0,0.0,1.0,1.0
33,5.0,4.0,4.0,4.0,4.0
34,1.0,1.0,0.0,1.0,1.0
35,1.0,0.0,1.0,1.0,0.0
36,9.0,9.0,9.0,10.0,9.0
37,4.0,3.0,3.0,3.0,3.0
38,1.0,1.0,0.0,0.0,0.0
39,2.0,1.0,1.0,1.0,0.0
40,4.0,3.0,0.0,0.0,0.0
41,2.0,0.0,1.0,1.0,2.0
42,7.0,7.0,2.0,1.0,0.0
43,5.0,0.0,4.0,0.0,0.0
44,5.0,1.0,1.0,1.0,1.0
45,0.0,0.0,0.0,0.0,0.0
46,4.0,4.0,3.0,4.0,4.0
47,0.0,0.0,2.0,1.0,1.0
48,8.0,3.0,3.0,3.0,3.0
49,6.0,9.0,6.0,6.0,0.0
50,3.0,6.0,1.0,0.0,0.0
51,0.0,1.0,1.0,1.0,1.0
52,2.0,1.0,0.0,0.0,0.0
53,3.0,3.0,2.0,2.0,1.0
54,2.0,0.0,8.0,8.0,0.0
55,1.0,5.0,1.0,1.0,1.0
56,3.0,7.0,3.0,6.0,6.0
