,Voter Deletion,Minimal Flips,Ballot Completion,Minimal Swaps,Forbidden Triples
0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.0,0.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,2.0,1.0,1.0,1.0,1.0
4,3.0,1.0,2.0,2.0,2.0
5,3.0,0.0,0.0,0.0,0.0
6,7.0,7.0,0.0,0.0,0.0
7,2.0,1.0,0.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0
9,1.0,1.0,0.0,0.0,0.0
10,5.0,1.0,2.0,1.0,8.0
11,5.0,5.0,2.0,0.0,2.0
12,5.0,3.0,1.0,2.0,2.0
13,3.0,1.0,1.0,1.0,2.0
14,2.0,0.0,0.0,1.0,0.0
15,1.0,1.0,1.0,0.0,1.0
16,4.0,2.0,0.0,0.0,0.0
17,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,0.0,0.0
19,2.0,2.0,2.0,0.0,1.0
20,2.0,2.0,1.0,1.0,1.0
21,3.0,2.0,1.0,1.0,2.0
22,4.0,5.0,1.0,1.0,5.0
23,1.0,1.0,0.0,0.0,0.0
24,5.0,2.0,1.0,2.0,1.0
25,2.0,2.0,2.0,1.0,0.0
26,1.0,0.0,0.0,0.0,0.0
27,0.0,1.0,1.0,0.0,0.0
28,1.0,0.0,0.0,0.0,1.0
29,1.0,2.0,0.0,1.0,0.0
30,2.0,1.0,1.0,1.0,0.0
31,1.0,1.0,0.0,0.0,0.0
32,1.0,1.0,1.0,1.0,1.0
33,8.0,1.0,8.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,1.0,2.0,1.0,1.0,2.0
36,3.0,1.0,0.0,0.0,0.0
37,1.0,1.0,1.0,1.0,3.0
38,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0,0.0
40,2.0,2.0,1.0,2.0,3.0
41,0.0,0.0,0.0,0.0,0.0
42,3.0,3.0,1.0,1.0,0.0
43,1.0,1.0,0.0,0.0,0.0
44,2.0,8.0,2.0,1.0,0.0
45,0.0,0.0,0.0,1.0,1.0
46,0.0,0.0,0.0,0.0,0.0
47,1.0,1.0,0.0,0.0,1.0
48,2.0,2.0,1.0,1.0,1.0
49,2.0,1.0,1.0,1.0,1.0
50,2.0,2.0,2.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,1.0,0.0
53,3.0,1.0,3.0,1.0,1.0
54,0.0,0.0,0.0,1.0,0.0
55,0.0,0.0,1.0,0.0,0.0
56,3.0,1.0,2.0,0.0,1.0
57,2.0,1.0,0.0,0.0,1.0
58,3.0,2.0,2.0,2.0,2.0
59,10.0,2.0,1.0,2.0,2.0
60,0.0,0.0,0.0,0.0,0.0
61,1.0,1.0,2.0,2.0,2.0
62,0.0,0.0,0.0,0.0,0.0
63,2.0,0.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0,0.0
65,2.0,1.0,1.0,1.0,0.0
66,2.0,1.0,1.0,1.0,1.0
67,9.0,1.0,1.0,0.0,0.0
68,2.0,2.0,1.0,0.0,1.0
69,1.0,1.0,1.0,1.0,0.0
70,3.0,1.0,2.0,1.0,1.0
71,0.0,0.0,0.0,0.0,0.0
72,1.0,1.0,1.0,0.0,0.0
73,1.0,0.0,1.0,1.0,1.0
74,2.0,2.0,2.0,1.0,2.0
75,1.0,0.0,0.0,0.0,0.0
76,1.0,1.0,0.0,0.0,1.0
77,2.0,1.0,1.0,1.0,1.0
78,1.0,1.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,1.0,1.0,0.0,0.0,0.0
81,3.0,0.0,0.0,0.0,0.0
82,1.0,2.0,0.0,0.0,1.0
83,2.0,0.0,0.0,1.0,1.0
84,1.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,1.0,0.0
86,1.0,0.0,0.0,1.0,1.0
87,2.0,1.0,0.0,0.0,0.0
88,7.0,0.0,0.0,1.0,1.0
89,1.0,2.0,1.0,1.0,0.0
90,0.0,1.0,1.0,2.0,1.0
91,1.0,1.0,1.0,1.0,1.0
92,1.0,0.0,1.0,0.0,1.0
93,2.0,8.0,9.0,3.0,8.0
94,3.0,2.0,2.0,1.0,1.0
95,3.0,2.0,2.0,2.0,1.0
96,2.0,2.0,1.0,1.0,1.0
97,7.0,8.0,6.0,6.0,6.0
98,3.0,1.0,1.0,1.0,1.0
99,4.0,3.0,1.0,3.0,3.0
100,1.0,1.0,0.0,0.0,0.0
101,2.0,2.0,1.0,1.0,2.0
102,0.0,1.0,0.0,1.0,1.0
103,0.0,0.0,0.0,0.0,0.0
104,1.0,1.0,1.0,1.0,2.0
105,1.0,1.0,1.0,1.0,1.0
106,3.0,0.0,1.0,1.0,1.0
